Accuracy: Ranger,					2 lvl, 1 varlık seç 2 tur boyunca vuruşunu kaçırmasın, V,S ( Kahve Çekirdeği )
Foresight: Bard,Druid,Warlock,Wizard,			5 lvl, 1 varlık seç ve 8 saat boyunca hiçbir tuzağa yakalanmaz hilelere kanmaz sürpriz saldırılara yakalanmaz, V,S,M ( Sinekkuşu Tüyü )

Forethought: Sorcerer,Warlock,Wizard,			4 lvl, 2d20 zar at ve elinde tut 24 saat içinde atılan herhangi bir zar yerine 2 kez kullanabilirsin, V,S,M ( Kumarbaz Zarları )

Intuition: Druid,Ranger,				1 lvl, leveliniz/2 sayı kadar tuzakları fark edin, V

Invisible: Bard,Sorcerer,Warlock,Wizard,		1 lvl, 1 saat boyunca görünmez ol tuzaklara yakalanırsan ya da saldırı yaparsan büyü bozulur, V,S,M ( Bukalemun Dili )

Levitate: Sorcerer,Wizard,				1 lvl, 1 varlık seç 3 tur boyunca havaya yükselir ve hareket edemez tuzaklara yakalanmaz, V,S,M ( Altın İğne, Tavus Tüyü )

Magic-Wall: Wizard,					2 lvl, 3 tur süren 6d çapta büyü duvarı oluştur dışardakiler içerdekilere saldıramaz içerideki düşmanlar 2d6 hasar alır, V,S,M ( Gümüş Tozu, Asit )

Magical-Missile: Sorcerer,Wizard,			1 lvl, 3 varlık seç ve herbiri 1d4+1 hasar alsın, V,S

Pathfinder: Druid,Ranger,				3 lvl, 24 saat boyunca sabit bir yere giden yoldan emin olursun ve gizli yolları bulabilirsin, V,S,M ( Fare Kemiği, Arı Kanadı, Karınca Tozu)

Poison Ivy: Druid,Ranger,				5 lvl, 8d mesafeye kadar 4d çaptaki bütün varlıklar zehirli sarmaşıkla sarılırlar 3 tur boyunca hareket edemezler ve her tur 2d8 hasar alırlar, V,S,M ( Sarmaşık Kökü, Zehir)

Remove-Curse: Cleric,Paladin,Warlock,Wizard,		2 lvl, 1 varlık seç ve üzerindeki laneti kaldır, V,S

Shield: Sorcerer,Wizard,				1 lvl, 1 tur boyunca görünmez kalkanın olur ve +5 AC alırsın, V,S  

Side-Changer: Bard,Wizard,				4 lvl, 1 varlık seç ve INT throw da başarısız olursa sizin yanınızda savaşmaya devam etsin, V,S

Sleep: Bard,Sorcerer,Wizard,				1 lvl, 2d çaptaki bütün varlıklar 1d6 tur boyunca boyunca uyusun saldırı alırlarsa uyanırlar, V,S,M ( Cırcır Böceği ya da Müzik Aleti )

Spectral-Mark: Cleric,Ranger,				3 lvl, 1 varlık seç ve onu işaretle 24 saat boyunca onu izleyebilirsin, V,S,M ( İnci )

Stall: Bard,						2 lvl, 3 varlık seç ve 3 tur boyunca sadece sana saldırabilirler, V

St"one-Rain: Druid,Ranger,Sorcerer,Wizard,		4 lvl, 10d mesafeye kadar olan bütün varlıkların üstüne taş yağdır DEX throwda başarısız olanlar 5d8 hasar alırlar, V,M ( Golem Nefesi, Yağmur Damlası )

Stun: Bard,Sorcerer,Warlock,Wizard,			4 lvl, 1 varlık seç ve 5 tur boyunca sersemlesin bu sırada hareket edemez ve saldıramaz, V,S 

Summon: Warlock,					3 lvl, 1d6 zar atarsın ve gelen zar seviyesinde seninle savaşacak bir varlık çağırırsın, V

Swift-Quiver: Ranger,					2 lvl, 1 tur boyunca 3 kez Ranged Weapon kullanabilirsin, V,S

Telekinesis: Sorcerer,Wizard,				3 lvl, 4d mesafeye kadar 5 tur boyunca 2d çaptaki bütün varlıkların zihnine göz atabilirsin ve sana yaptıkları saldırılarsan kaçabilirsin, V,S

Teleport: Sorcerer,Wizard,				2 lvl, 16d mesafeye kadar levelin/2 kadar varlığı ışınlayabilirsin, V

Thorn: Druid,Ranger,					4 lvl, 3 tur boyunca sana saldıran sana verceği zararı kendisine verir, V,S,M ( Kaktüs Meyvesi )

Truth: Paladin,						3 lvl, 1 varlık seç ve onu doğruyu söylemeye zorla, V,S

Vortex: Wizard, 					3 lvl, 10d mesafeye kadar bir nokta seç ve 6d çaptaki herkes o noktaya çekilsin, V,S
